experiment_id,subject_id,species,tissue,group,time_of_day,body_mass_g,lean_mass_g,fat_mass_g,energy_expenditure_kcal_hr,food_intake_kcal_hr,water_intake_ml_hr,vo2_ml_hr,vco2_ml_hr,rer,locomotor_activity_beam_breaks_hr,pedestrian_locomotion_m_hr,body_temperature_c,distance_in_cage_m_hr,energy_balance_kcal_hr,experiment_start_time,experiment_end_time,experiment_duration_hr,diet_name,diet_kcal_g,age,strain,genetic_background,sex,ambient_temperature_c,quality_score,system,pmid,location,treatment,investigator,total_food_kcal,total_water_ml,total_pedestrian_locomotion_m,total_distance_in_cage_m,wheel_counts,avg_daily_food_intake_kcal_period,avg_daily_water_intake_ml_period,avg_daily_energy_expenditure_kcal_period,avg_daily_energy_balance_kcal_period,avg_daily_pedestrian_locomotion_m_period,avg_daily_distance_in_cage_m_period,litter,bedding,ee_calculation_method,enrichment
churchill_2024,DO-1D-3055_Y1,Mouse,Whole Body,Y1_1D,Full day,23.91361688,NA,NA,0.493176172,2.375720501,0.860032141,102.3359022,84.48222167,0.82769354,137.3813748,18.15163384,NA,157.1522082,1.882544329,10/5/2016,10/11/2016,160,LabDiet 5008 3.47kcal/g,3.47,15,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,1D,Gary A. Churchill,380.1152802,137.6051425,2904.261414,25144.35331,NA,57.01729202,20.64077138,11.83622813,45.1810639,435.6392122,3771.652997,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2153_Y2,Mouse,Whole Body,Y2_40,Light,23.91642969,NA,NA,0.278446083,0.808508111,1.049809837,56.63613375,49.33635292,0.861911806,31.05555565,5.101666668,NA,33.72916677,0.530062027,9/10/2018,9/16/2018,80,LabDiet 5008 3.47kcal/g,3.47,59,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,64.68064885,83.98478695,408.1333334,2698.333341,NA,19.40419466,25.19543609,6.682705992,12.72148865,122.44,809.5000025,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2153_Y2,Mouse,Whole Body,Y2_40,Dark,23.91642969,NA,NA,0.399760323,1.060995877,0.832551958,82.24899104,68.63320604,0.803740993,68.43402798,12.28389586,NA,76.91666689,0.661235554,9/10/2018,9/16/2018,80,LabDiet 5008 3.47kcal/g,3.47,59,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,84.87967013,66.60415666,982.7116685,6153.333351,NA,25.46390105,19.981247,9.594247752,15.8696533,294.8135006,1846.000005,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2153_Y2,Mouse,Whole Body,Y2_40,Full day,23.91642969,NA,NA,0.338425828,0.92039876,0.849899135,69.27667646,59.13781708,0.823931015,48.5590279,9.410802101,NA,54.48090291,0.581972932,9/10/2018,9/16/2018,160,LabDiet 5008 3.47kcal/g,3.47,59,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,147.2638016,135.9838616,1505.728336,8716.944465,NA,22.08957024,20.39757924,8.122219872,13.96735037,225.8592504,1307.54167,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-20-1188_Y2,Mouse,Whole Body,Y2_20,Light,23.93093148,NA,NA,0.341723236,0.683546626,0.164516668,71.48924083,56.96391,0.756329528,44.59722258,13.1241667,NA,113.1377672,0.34182339,12/24/2018,12/30/2018,81,LabDiet 5008 3.47kcal/g,3.47,62,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,20,Gary A. Churchill,55.36727674,13.32585007,1063.057503,9164.15914,NA,16.40511902,3.948400021,8.201357664,8.20376136,314.9800008,2715.306413,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-20-1188_Y2,Mouse,Whole Body,Y2_20,Dark,23.93093148,NA,NA,0.388023563,0.758563689,0.594347506,80.94731,63.15769208,0.821813868,68.38888939,27.83062509,NA,126.6629844,0.370540126,12/24/2018,12/30/2018,81,LabDiet 5008 3.47kcal/g,3.47,62,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,20,Gary A. Churchill,61.44365881,48.14214797,2254.280632,10259.70174,NA,18.20552854,14.26434014,9.312565512,8.892963024,667.9350022,3039.911626,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-20-1188_Y2,Mouse,Whole Body,Y2_20,Full day,23.93093148,NA,NA,0.37284696,0.790382866,0.536567541,78.0500625,59.69649677,0.80744722,60.21006992,22.7175001,NA,125.3728918,0.417535906,12/24/2018,12/30/2018,162,LabDiet 5008 3.47kcal/g,3.47,62,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,20,Gary A. Churchill,128.0420243,86.92394158,3680.235016,20310.40847,NA,18.96918878,12.87762097,8.94832704,10.02086174,545.2200024,3008.949403,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2036_Y2,Mouse,Whole Body,Y2_40,Light,23.94459012,NA,NA,NA,3.370752565,0.92854555,NA,NA,NA,86.7777779,23.56816057,NA,110.4444395,NA,7/10/2017,7/16/2017,81,LabDiet 5008 3.47kcal/g,3.47,57,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,273.0309578,75.21218952,1909.021006,8945.999599,NA,80.89806156,22.28509319,NA,NA,565.6358537,2650.666548,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2036_Y2,Mouse,Whole Body,Y2_40,Dark,23.94459012,NA,NA,NA,2.97731783,0.529514958,NA,NA,NA,109.3020814,36.37477951,NA,124.3749964,NA,7/10/2017,7/16/2017,81,LabDiet 5008 3.47kcal/g,3.47,57,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,241.1627442,42.89071159,2946.35714,10074.37471,NA,71.45562792,12.70835899,NA,NA,872.9947082,2984.999914,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2036_Y2,Mouse,Whole Body,Y2_40,Full day,23.94459012,NA,NA,NA,3.289994952,0.690447838,NA,NA,NA,98.07638791,31.66942789,NA,118.1716349,NA,7/10/2017,7/16/2017,162,LabDiet 5008 3.47kcal/g,3.47,57,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,532.9791823,111.8525498,5130.447318,19143.80486,NA,78.95987885,16.57074812,NA,NA,760.0662694,2836.119238,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
